step	train_reward_mean	train_loss
436	23.3674	0.003854
437	19.2706	-0.010208
438	23.0952	-0.031997
439	21.5443	0.056834
440	25.1395	0.086829
441	23.6039	0.010520
442	23.1969	-0.003813
443	19.9330	-0.057919
444	19.2867	0.047505
445	20.9997	0.057766
446	21.8902	0.005108
447	21.8081	-0.008301
448	24.7288	0.114237
449	19.1913	0.004560
450	21.7270	-0.004189
451	21.8715	-0.008199
452	21.5544	0.034767
453	20.7742	0.025473
454	23.3145	-0.013171
455	22.3598	-0.003565
456	20.8646	0.026382
457	22.4997	0.029145
458	24.8672	-0.005315
459	23.5652	0.021355
460	21.8253	0.074899
461	24.6812	0.034089
462	23.2276	0.007732
463	24.3118	0.015522
464	22.9171	0.007648
465	19.0081	-0.024121
466	20.0889	-0.022427
467	24.0494	0.023396
468	21.8735	0.037359
469	21.6264	0.027773
470	21.5947	-0.000513
471	19.9583	-0.002257
472	20.4481	0.010071
473	22.7646	0.009429
474	22.2621	0.014980
475	22.3755	0.007227
476	21.7072	-0.040480
477	22.8858	0.097159
478	20.3386	0.014348
479	21.2597	-0.003617
480	21.8581	0.015302
481	21.5860	-0.027001
482	22.5287	0.010013
483	24.3154	0.046052
484	18.6167	-0.006328
485	20.4638	-0.022936
486	21.1707	0.027152
487	19.7516	-0.004448
488	21.1363	-0.014316
489	22.0309	0.032864
490	21.9599	-0.023346
491	21.8507	0.015001
492	21.5476	0.033172
493	19.9984	-0.013658
494	23.8168	0.012138
495	22.7664	0.092475
496	20.0746	0.011449
497	23.7468	0.094976
498	24.8460	0.005422
499	21.3404	0.024496
500	21.9303	0.021663
501	19.1553	-0.010919
502	21.0389	0.038207
503	21.6790	0.095681
504	22.4086	0.068424
505	21.4078	-0.015006
506	22.8682	0.004225
507	24.7885	-0.009080
508	22.7271	0.092810
509	22.8010	0.037174
510	23.9943	0.011003
511	21.3089	-0.014883
512	22.3269	0.035086
513	22.7338	0.044865
514	21.5663	0.012898
515	22.1068	0.023699
516	21.0431	0.015500
517	20.1934	0.023479
518	21.7641	0.061977
519	21.4152	0.016865
520	22.8377	0.038807
521	20.5870	-0.001988
522	23.8822	0.020113
523	21.1153	0.030802
524	21.6171	0.100557
525	21.1345	0.008334
526	21.7345	-0.031423
527	19.0382	0.008833
528	20.8062	-0.007713
529	26.0775	-0.030712
530	21.4944	-0.027084
531	19.9712	0.013563
532	24.9504	0.008369
533	20.9423	0.030897
534	21.2713	-0.060813
535	23.1277	0.016655
536	23.0919	0.105702
537	23.3806	0.019248
538	20.9057	0.010709
539	19.3267	0.018660
540	21.8491	-0.053790
541	21.2907	0.026609
542	20.6516	-0.010192
543	24.1783	0.063362
544	19.7923	0.021396
545	22.2684	0.021298
546	23.9489	0.074986
547	25.0425	0.033687
548	25.7439	-0.023259
549	20.3583	0.007205
550	23.0304	0.046493
551	22.5013	-0.013242
552	21.9050	-0.008673
553	20.7149	0.004370
554	19.2491	0.029778
555	23.6639	0.105883
556	24.2510	0.003409
557	20.6914	-0.028508
558	22.0036	0.049151
559	19.4320	-0.016277
560	21.4776	0.053462
561	23.5836	-0.024946
562	21.6927	-0.042465
563	20.2914	0.020525
564	23.5108	-0.033244
565	20.6757	0.015708
566	22.6200	-0.002176
567	22.5153	0.055873
568	20.7451	0.063630
569	22.0468	-0.031586
570	19.8735	0.004804
571	24.6243	0.073579
572	23.0293	0.045071
573	22.4343	0.023916
574	20.0865	-0.001064
575	20.7311	-0.020219
576	23.5687	0.028010
577	21.6318	-0.003230
578	23.0564	0.023148
579	21.7968	-0.022643
580	22.1153	0.092558
581	24.9868	-0.025969
582	21.0696	-0.008175
583	24.8901	-0.038314
584	22.6187	0.065245
585	25.2482	-0.024548
586	21.4323	0.053824
587	21.5616	0.051029
588	22.0917	0.025496
589	22.6449	-0.048952
590	24.4092	-0.002520
591	22.0491	0.052252
592	22.4895	0.036388
593	20.7259	0.097263
594	20.3613	0.084093
595	23.5397	0.044925
596	21.8059	0.010374
597	19.5094	0.010214
598	23.7635	0.011387
599	23.6523	0.007840
